Filename,Response Duration (seconds),Transcribed Text
test69,4.145723342895508,"Excited, Lee ran to her grandmother to share her discovery. Tears of joy welled up in her grandmother's eyes as she recounted stories of her past long forgotten."
test70,1.5765743255615234,"Once Upon a time, in a small village, there lived a clever fox."
test71,0.7552773952484131,I wake up at 6:00 AM everyday.
test72,1.6221671104431152,Artificial intelligence is transforming industries.
test73,0.44625587463378906,"Hi,  I am Michael."
test74,0.4975575923919678,What is your name?
test75,0.4393653869628906,How are you?
test76,0.4376087188720703,"Hi,  I am Michael."
test77,0.4646947383880615,What is your name?
test78,0.49714231491088867,How are you doing?
